,Rewards,Score,Episode_Length
1474,337,34,348
1475,147,15,158
1476,1161,116,1172
1477,53,6,64
1478,361,36,372
1479,61,6,72
1480,327,33,338
1481,86,9,97
1482,15,2,26
1483,281,28,292
1484,781,78,792
1485,31,3,42
1486,61,6,72
1487,450,45,461
1488,1,0,12
1489,1,0,12
1490,217,22,228
1491,211,21,222
1492,67,7,78
1493,571,57,582
1494,71,7,82
1495,61,6,72
1496,171,17,182
1497,56,6,67
1498,34,4,45
1499,344,35,355
1500,361,36,372
1501,21,2,32
1502,-5,0,6
1503,56,6,67
1504,281,28,292
1505,181,18,192
1506,971,97,982
1507,431,43,442
1508,172,17,183
1509,412,41,423
1510,12,1,23
1511,141,14,152
1512,358,36,369
1513,81,8,92
1514,21,2,32
1515,1,0,12
1516,21,2,32
1517,191,19,202
1518,11,1,22
1519,46,5,57
1520,31,3,42
1521,6,1,17
1522,81,8,92
1523,551,55,562
1524,-6,0,5
1525,284,29,295
1526,231,23,242
1527,261,26,272
1528,21,2,32
1529,381,38,392
1530,67,7,78
1531,837,84,848
1532,467,47,478
1533,187,19,198
1534,61,6,72
1535,127,13,138
1536,791,79,802
1537,331,33,342
1538,601,60,612
1539,673,68,684
1540,97,10,108
1541,-3,0,8
1542,253,26,264
1543,183,19,194
1544,1,0,12
1545,94,10,105
1546,195,20,206
1547,185,19,196
1548,181,18,192
1549,24,3,35
1550,343,35,354
1551,43,5,54
1552,113,12,124
1553,63,7,74
1554,151,15,162
1555,45,5,56
1556,684,69,695
1557,448,45,459
1558,181,18,192
1559,475,48,486
1560,765,77,776
1561,35,4,46
1562,383,39,394
1563,101,10,112
1564,123,13,134
1565,11,1,22
1566,381,38,392
1567,34,4,45
1568,1311,131,1322
1569,11,1,22
1570,88,9,99
1571,189,19,200
1572,268,27,279
1573,1451,145,1462
1574,66,7,77
1575,11,1,22
1576,0,0,11
1577,141,14,152
1578,81,8,92
1579,367,37,378
1580,131,13,142
1581,271,27,282
1582,161,16,172
1583,91,9,102
1584,162,16,173
1585,81,8,92
1586,261,26,272
1587,201,20,212
1588,311,31,322
1589,101,10,112
1590,91,9,102
1591,333,34,344
1592,481,48,492
1593,73,8,84
1594,63,7,74
1595,201,20,212
1596,271,27,282
1597,81,8,92
1598,31,3,42
1599,111,11,122
1600,1021,102,1032
1601,346,35,357
1602,608,61,619
1603,271,27,282
1604,359,36,370
1605,229,23,240
1606,261,26,272
1607,701,70,712
1608,2,0,13
1609,218,22,229
1610,605,61,616
1611,102,10,113
1612,56,6,67
1613,121,12,132
1614,1,0,12
1615,36,4,47
1616,33,4,44
1617,162,16,173
1618,22,2,33
1619,33,4,44
1620,52,5,63
1621,137,14,148
1622,1381,138,1392
1623,0,0,11
1624,541,54,552
1625,278,28,289
1626,36,4,47
1627,201,20,212
1628,511,51,522
1629,591,59,602
1630,21,2,32
1631,31,3,42
1632,41,4,52
1633,6,1,17
1634,1,0,12
1635,221,22,232
1636,51,5,62
1637,91,9,102
1638,231,23,242
1639,531,53,542
1640,211,21,222
1641,391,39,402
1642,261,26,272
1643,1952,195,1963
